id_person,DoB,PoB_ID,City,State,Country,Region,Group,Lat,Long
99788,1986,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
118939,1985,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
170033,1980,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
238487,1994,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
256858,1996,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
290850,1996,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
292349,1998,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
293731,1998,AltigraciadeOrituco_VE,AltigraciadeOrituco,,VE,South America,Latin America and the Caribbean,8.001871,-66.110932
151265,1990,AltosdelasRojas_DO,AltosdelasRojas,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
64633,1985,AmiamaGomez_DO,Amiama Gomez,,DO,Caribbean,Latin America and the Caribbean,18.589533,-70.895756
40803,1961,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
50853,1991,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
53156,1991,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
73861,1992,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
76895,1980,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
85868,1984,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
88973,1989,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
90932,1987,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
92499,1981,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
132637,1989,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
138645,1983,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
