PoB_ID,City,State,Country,Region,Group,Lat,Long
Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
AltamonteSprings_FL_US,Altamonte Springs,FL,US,Northern America,Northern America,28.664906,-81.376269
Altavista_VA_US,Altavista,VA,US,Northern America,Northern America,37.111809,-79.285579
AltigraciadeOrituco_VE,AltigraciadeOrituco,,VE,South America,Latin America and the Caribbean,8.001871,-66.110932
Alton_IL_US,Alton,IL,US,Northern America,Northern America,38.890604,-90.184276
Altoona_KS_US,Altoona,KS,US,Northern America,Northern America,37.523943,-95.66137
Altoona_PA_US,Altoona,PA,US,Northern America,Northern America,40.518681,-78.394736
AltosdelasRojas_DO,AltosdelasRojas,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
Altura_MN_US,Altura,MN,US,Northern America,Northern America,44.07163,-91.939602
Altus_OK_US,Altus,OK,US,Northern America,Northern America,34.638126,-99.333975
Alvarado_TX_US,Alvarado,TX,US,Northern America,Northern America,32.406531,-97.211678
Alvin_TX_US,Alvin,TX,US,Northern America,Northern America,29.423847,-95.244101
Amagasaki_JP,Amagasaki,,JP,Eastern Asia,Asia,34.7289,135.412989
Amanth_NC_US,Amanth,NC,US,Northern America,Northern America,35.672964,-79.039292
Amarillo_TX_US,Amarillo,TX,US,Northern America,Northern America,35.207219,-101.833825
Ambridge_PA_US,Ambridge,PA,US,Northern America,Northern America,40.589234,-80.22506
Amelia_VA_US,Amelia,VA,US,Northern America,Northern America,37.342015,-77.980988
AmericanFork_UT_US,American Fork,UT,US,Northern America,Northern America,40.376895,-111.795764
Americus_GA_US,Americus,GA,US,Northern America,Northern America,32.072386,-84.232688
Americus_KS_US,Americus,KS,US,Northern America,Northern America,38.506956,-96.261942
Amersfoort_Utrecht_NL,Amersfoort,Utrecht,NL,Western Europe,Europe,52.163774,5.396588
Amery_WI_US,Amery,WI,US,Northern America,Northern America,45.306906,-92.362137
Ames_IA_US,Ames,IA,US,Northern America,Northern America,42.02677,-93.617055
Amesbury_MA_US,Amesbury,MA,US,Northern America,Northern America,42.858424,-70.930055
Amherst_MA_US,Amherst,MA,US,Northern America,Northern America,42.380368,-72.523143
Amherst_NY_US,Amherst,NY,US,Northern America,Northern America,42.978392,-78.799762
Amherst_OH_US,Amherst,OH,US,Northern America,Northern America,41.397822,-82.222377
Amherst_VA_US,Amherst,VA,US,Northern America,Northern America,37.585141,-79.051413
Amherst_WI_US,Amherst,WI,US,Northern America,Northern America,44.450678,-89.28459
Amherstberg_ON_CA,Amherstberg,ON,CA,Northern America,Northern America,42.101343,-83.108661
AmiamaGomez_DO,Amiama Gomez,,DO,Caribbean,Latin America and the Caribbean,18.589533,-70.895756
Amityville_NY_US,Amityville,NY,US,Northern America,Northern America,40.672268,-73.414899
Amman_JO,Amman,,JO,Western Asia,Asia,31.951569,35.923963
Amonate_VA_US,Amonate,VA,US,Northern America,Northern America,37.190948,-81.638721
Amory_MS_US,Amory,MS,US,Northern America,Northern America,33.983388,-88.4811
Amstelveen_NorthHolland_NL,Amstelveen,North Holland,NL,Western Europe,Europe,52.286218,4.852649
Amsterdam_NorthHolland_NL,Amsterdam,North Holland,NL,Western Europe,Europe,52.374436,4.897996
Amsterdam_NY_US,Amsterdam,NY,US,Northern America,Northern America,42.943367,-74.185044
Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
Anaconda_MT_US,Anaconda,MT,US,Northern America,Northern America,46.128794,-112.942369
Anacortes_WA_US,Anacortes,WA,US,Northern America,Northern America,48.502012,-122.623736
Anadarko_OK_US,Anadarko,OK,US,Northern America,Northern America,35.072562,-98.243663
Anaheim_CA_US,Anaheim,CA,US,Northern America,Northern America,33.834752,-117.911732
AnaheimHills_CA_US,Anaheim Hills,CA,US,Northern America,Northern America,33.844408,-117.777386
Anama_ElSeibo_DO,Anama,El Seibo,DO,Caribbean,Latin America and the Caribbean,18.785417,-69.019678
Anchorage_AK_US,Anchorage,AK,US,Northern America,Northern America,61.216313,-149.894852
Anchorville_MI_US,Anchorville,MI,US,Northern America,Northern America,42.691144,-82.688527
Ancon_CanalZone_PA,Ancon,Canal Zone,PA,Central America,Latin America and the Caribbean,8.309607,-81.306625
Andale_KS_US,Andale,KS,US,Northern America,Northern America,37.790567,-97.629492
Andalusia_AL_US,Andalusia,AL,US,Northern America,Northern America,31.308504,-86.483203
Anderson_CA_US,Anderson,CA,US,Northern America,Northern America,40.448208,-122.297781
Anderson_IN_US,Anderson,IN,US,Northern America,Northern America,40.10532,-85.680254
Anderson_SC_US,Anderson,SC,US,Northern America,Northern America,34.50686,-82.650626
AndersonCounty_SC_US,Anderson County,SC,US,Northern America,Northern America,33.687439,-80.436374
Andover_MA_US,Andover,MA,US,Northern America,Northern America,42.65717,-71.140878
Andover_MN_US,Andover,MN,US,Northern America,Northern America,45.233299,-93.29134
Andrews_SC_US,Andrews,SC,US,Northern America,Northern America,33.451278,-79.560897
Andrews_TX_US,Andrews,TX,US,Northern America,Northern America,32.318716,-102.545715
AngelinaCounty_TX_US,Angelina County,TX,US,Northern America,Northern America,39.78373,-100.445882
AngelsCamp_CA_US,Angel's Camp,CA,US,Northern America,Northern America,38.068256,-120.539646
Angier_NC_US,Angier,NC,US,Northern America,Northern America,35.507105,-78.739181
Angleton_TX_US,Angleton,TX,US,Northern America,Northern America,29.16941,-95.431885
Angola_IN_US,Angola,IN,US,Northern America,Northern America,41.634874,-84.99928
Anguilla_MS_US,Anguilla,MS,US,Northern America,Northern America,32.974016,-90.824544
Anion_CZ,Anion,,CZ,Eastern Europe,Europe,49.8167,15.474954
Ankeny_IA_US,Ankeny,IA,US,Northern America,Northern America,41.731872,-93.600384
Anna_IL_US,Anna,IL,US,Northern America,Northern America,37.460327,-89.247028
Annaheim_SK_CA,Annaheim,SK,CA,Northern America,Northern America,52.318352,-104.814962
Annandale_NJ_US,Annandale,NJ,US,Northern America,Northern America,40.640935,-74.881278
Annapolis_MD_US,Annapolis,MD,US,Northern America,Northern America,38.97864,-76.492786
AnnArbor_MI_US,Ann Arbor,MI,US,Northern America,Northern America,42.268157,-83.731229
Annbank_SouthAyrshire_GB,Annbank,South Ayrshire,GB,Northern Europe,Europe,55.474709,-4.522325
Anniston_AL_US,Anniston,AL,US,Northern America,Northern America,33.659442,-85.831633
Anoka_MN_US,Anoka,MN,US,Northern America,Northern America,45.197743,-93.387176
Anola_MB_CA,Anola,MB,CA,Northern America,Northern America,49.885264,-96.637257
Anson_TX_US,Anson,TX,US,Northern America,Northern America,32.756477,-99.896788
